,dateTime,event,Score
0,2021-07-01 18:01:13,star bulk carriers announces atm equity offering with deutsche bank and jefferies,0.0
1,2021-07-01 18:00:29,on the hour,0.0
2,2021-07-01 17:56:02,tco nat gas pipeline production plunges on release in west virginia,0.0
3,2021-07-01 17:43:56,community bank system acquires fringe benefits design of minnesota,0.3818
4,2021-07-01 17:41:29,cbb bancorp acquires ohana pacific bank in hawai,0.0
5,2021-07-01 17:40:52,cpop mrin tatt and mind among after hours movers,0.0
6,2021-07-01 17:39:13,washington federal names stephen graham as its new chairman,0.0
7,2021-07-01 17:38:49,israel chemicals buys compass minerals brazil ag unit in 420m deal,0.0
8,2021-07-01 17:32:47,cerence rises 8 adtalem up 6 on sp index changes,0.0
9,2021-07-01 17:32:29,colombier acquisition raises additional 225m from underwriters of ipo takes tally to 1725m,0.0
10,2021-07-01 17:30:59,fluor balfour beatty jv commence work on oak hill parkway project,0.0
11,2021-07-01 17:29:31,inflationary pressures are not only affecting the united states but also the united kingdom,0.6059
12,2021-07-01 17:29:25,labcorp launches companion diagnostic for amgens lumakras,0.0
13,2021-07-01 17:24:51,mfs multimarket income trust declares missing dividend,0.2732
14,2021-07-01 17:19:53,mfs municipal income trust declares missing dividend,0.2732
15,2021-07-01 17:18:32,raytheon nabs 2b contract for us airforce,0.0
16,2021-07-01 17:16:55,doj pulls out of proposed nar pact so it could pursue other probes into real estate,0.0
17,2021-07-01 17:16:41,who chief urges every nation to vaccinate at least 10 of population by september,0.0
18,2021-07-01 17:14:50,sqz biotechnologies adds to board of directors,0.0
19,2021-07-01 17:13:18,hot stocks aapl testing hybrid for retail workers htzz and dnut return to wall street cop gets high praise,0.5574
20,2021-07-01 17:12:04,crawford united acquires emergency hydraulics,0.0516
21,2021-07-01 17:10:28,john hancock preferred income fund ii declares missing dividend,-0.296
22,2021-07-01 17:07:41,ensyce biosciences to begin trading tomorrow on the nasdaq,0.0
23,2021-07-01 17:04:27,outset medicals cfo rebecca chambers to step down,0.0
24,2021-07-01 17:03:15,midwest subsidiary signs reinsurance deal with aric,0.0
25,2021-07-01 16:57:14,green plains breaks ground at third ultra high protein installation,0.0
26,2021-07-01 16:54:34,vivint smart home prices 800m new senior notes,0.4019
27,2021-07-01 16:54:15,voya financial acquires benefit strategies to accelerate health savings and spending accounts business,0.4588
28,2021-07-01 16:52:47,tat technologies nabs new mro partnership with honeywell,0.0
29,2021-07-01 16:52:00,harborone bancorp inc declares missing dividend,-0.296
30,2021-07-01 16:50:37,verizon pledges three years of low cost lifeline support to seal tracfone deal,0.1531
31,2021-07-01 16:48:48,werner enterprises acquires 80 stake in truckload carriers ecm transport for 1424m,0.0
32,2021-07-01 16:48:35,intellia ceo breakthrough gene editing technology can be very very successful in certain diseases,0.774
33,2021-07-01 16:47:12,oncternal therapeutics names pablo urbaneja as senior vp corporate development,0.0
34,2021-07-01 16:46:55,datadog announces new security integration with salesforce,0.34
35,2021-07-01 16:46:37,lindsay corporation declares 0_33 dividend,0.0
36,2021-07-01 16:43:43,dht holdings trades higher post market on announcement of share repurchase,0.296
37,2021-07-01 16:41:59,real estate sector etf gain outpaces s and p 500 trust etf in 1h,0.7717
38,2021-07-01 16:41:18,kymera therapeutics surges more than 15 after 2235m upsized equity offering,0.0
39,2021-07-01 16:40:57,strike ends at marathons st paul park refinery as new contract approved,0.3182
40,2021-07-01 16:40:09,armour residential reit inc declares missing dividend,-0.296
41,2021-07-01 16:39:36,via optronics ag names new finance chief,0.0
42,2021-07-01 16:38:52,sorrento reaches over a three month high after jim cramer said its not a meme stock,0.0516
43,2021-07-01 16:32:33,etoro pressed on concerns of conflict of interest with retail clients article says,0.1779
44,2021-07-01 16:30:13,biosig technologies under pressure on announcement of common stock public offering,-0.296
45,2021-07-01 16:29:37,olin inks agreement with ashta chemicals for purchase and sale of chlorine,0.4939
46,2021-07-01 16:29:01,cidara therapeutics chief financial officer james levine resigns,-0.3182
47,2021-07-01 16:25:31,american financial group inc declares missing dividend,-0.296
48,2021-07-01 16:25:26,krystal biotech posts updated results from early stage kb105 study,0.0
49,2021-07-01 16:21:16,myriad genetics completes sales of laboratory unit to iqvia subsidiary,0.0
50,2021-07-01 16:20:50,primerica acquires e telequote for 600m,0.0
51,2021-07-01 16:20:14,hc2 holdings soars 5 following completion of sale of insurance business for 90m,0.0
